,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460
hokkaido,1325.381643,159.7898551,496.5531401,669.2173913,-2165.603865,-38.46135266,458.2850242,23.32608696,495.1062802,264.3067633,182.9806763,320.0942029,63.76086957,29.72705314,-4.584541063,321.2753623,204.6763285,20.70531401,319.3574879,-141.9565217,-1.54589372,-6.584541063,46.68357488,-12.16908213,-115.442029,45.40096618,7.285024155,40.84057971,-2165.495169,-2572.94686,-550.2826087,392.6763285,13.147343,114.6328502,306.5458937,1457.690821,404.9275362,1009.434783,391.3115942,-1465.615942,-210.8285024,-2189.074879,-9.850241546,2038.608696,-2125.188406,321.2898551
tohoku,1957.154589,323.0338164,429.0869565,907.1207729,-2769.157005,-873.9057971,651.5072464,60.24396135,565.7826087,381,641.0772947,241.173913,298.6956522,108.6304348,-23.54830918,698.5120773,335.3478261,487.3115942,750.147343,-408.5217391,-128.5048309,-954.2971014,-338.8043478,164.9613527,245.147343,-4.867149758,-291.9323671,18.55072464,-3643.048309,-3115.041063,-1228.169082,1944.323671,43.56280193,356.5024155,706.089372,1687.536232,105.0507246,1572.7343,668.6594203,-1618.345411,298.9009662,-2735.478261,18.88888889,3052.528986,-2973.045894,493.4227053
kanto,2884.362319,280.6690821,357.6859903,5454.586957,-10172.02899,-720.9323671,1605.7657,183.9202899,2862.76087,6419.429952,4426.913043,2751.10628,2819.304348,702.7028986,-349.1304348,2796.256039,4125.799517,3054.596618,5241.330918,-6954.248792,-2183.985507,-5036.676329,-13606.02174,-1566.828502,-8827.108696,-224.7270531,-1868.905797,-954.0869565,-18949.22947,-9241.007246,-8182.963768,3013.048309,50.22705314,1566.007246,6682.39372,23525.17874,2919.219807,5087.541063,5643.386473,-6934.248792,4796.801932,-10793.84058,-504.3623188,29060.99034,-21216.31159,3421.258454
chubu,1051.028986,233.0676329,207.8091787,2101.171498,-2494.321256,70.65458937,852.1570048,-17.40821256,978.6884058,956.3478261,1823.702899,1204.97343,1380.555556,329.2439614,-23.42028986,1730.403382,1661.434783,1290.567633,2321.231884,-3062.031401,-875.5917874,-1247.652174,-403.6956522,-267.9444444,-9563.463768,-209.2198068,-172.3188406,-178.6352657,-5124.949275,-3004.640097,-1766.386473,1438.862319,59.29227053,539.0990338,2851.538647,3208.794686,351.4202899,2758.033816,1119.140097,-1444.26087,1591.458937,-3204.224638,-146.2898551,5621.618357,-5050.140097,926.2850242
kansai,1003.248792,245.5289855,135.2318841,2309.246377,-4319.190821,-3.714975845,762.326087,-7.420289855,1268.280193,1960.81401,2286.782609,1283.642512,1550.92029,243.678744,-243.3695652,1221.038647,2834.147343,1342.328502,3149.004831,-4034.15942,-641.6183575,-2895.806763,-1002.611111,-787.9565217,-676.4323671,-340.8623188,-486.6328502,-792.2971014,-7861.661836,-5108.123188,-3921.062802,1818.033816,-84.99758454,576.9661836,3648.23913,6659.86715,1635.763285,3027.76087,1998.101449,-2677.932367,1071.096618,-5825.47343,-411.8647343,10070.98309,-8438.169082,1480.729469
chukoku,702.6111111,229.3285024,198.5652174,2186.586957,-1828.391304,-489.7874396,578.2294686,20.39855072,417.9951691,324.0483092,1086.096618,1355.753623,371.5096618,182.6666667,-3.328502415,607.8937198,1647.990338,467.8671498,724.2536232,-1390.188406,-45.94444444,-291.02657,238.1859903,-179.8743961,-2905.270531,-477.6570048,-33.80676329,-39.56038647,-2631.495169,-2124.227053,-907.6425121,649.468599,21.84782609,393.6618357,608.3478261,1864.932367,129.4033816,1770.328502,525.7512077,-1207.915459,376.1908213,-2548.838164,-45.99516908,2780.806763,-2300.835749,497.8864734
shikoku,401.321256,170.0845411,174.6642512,908.8043478,-1132.147343,-300.0603865,406.0845411,9.835748792,827.8719807,160.531401,561.9033816,313.1135266,127.0724638,31.30917874,-19.19082126,263.0144928,97.91062802,112.0628019,322.4806763,-503.5483092,-8.879227053,-191.0676329,-507.2608696,-68.27294686,9.608695652,-415.1570048,2.608695652,22.80676329,-1305.71256,-1417.92029,-393.1859903,458.9468599,17.68357488,126.6956522,141.0555556,935.1376812,-82.14251208,890.0990338,259.3719807,-582.6618357,76.27294686,-1687.649758,2.243961353,1264.190821,-1230.103865,251.1449275
kyushyu,1809.176329,197.7198068,515.1280193,1327.954106,-3157.978261,-496.6207729,595.3768116,28.20048309,401.7826087,634.3599034,757.7149758,326.442029,230.031401,-7.70531401,-2.90821256,977.7487923,942.0700483,324.3188406,917.2173913,-825.9396135,-17.83091787,-120.0772947,-195.6328502,-19.71497585,-1602.932367,-478.6690821,-77.28985507,34.9589372,-3991.707729,-3777.913043,-1192.045894,996.6908213,44.48309179,418.7584541,866.7270531,2896.623188,221.7729469,2246.089372,841.9444444,-2190.591787,81.85748792,-5415.176329,-37.03623188,4466.949275,-4407.874396,747.6400966
okinawa,76.647343,1.531400966,7.200483092,247.5700483,-107.4227053,1.657004831,12.78502415,2.833333333,7.509661836,31.01932367,17.16908213,-4.804347826,5.144927536,2.615942029,0.594202899,64.19565217,14.6763285,3.094202899,39.06038647,1.060386473,-5.265700483,0.304347826,1.256038647,-0.816425121,2.828502415,13.13043478,2.099033816,8.34057971,-428.4879227,-404.9371981,-135.0990338,23.42028986,2.094202899,10.80193237,-29.73429952,201.5869565,46.93719807,141.9589372,79.05072464,-293.8405797,-79.43961353,-414.4130435,-5.751207729,305.3671498,-496.5289855,42.7173913
